City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Katete,UG,-0.7818,29.7544,61.92,97,92,1.72,light rain
147,Hami,CN,42.8,93.45,81.59,19,1,12.57,clear sky
148,Victoria,HK,22.2855,114.1577,88.97,76,82,11.99,broken clouds
149,Bredasdorp,ZA,-34.5322,20.0403,50.04,72,71,20.8,broken clouds
150,Hamilton,US,39.1834,-84.5333,77.23,72,0,5.75,clear sky
151,Matagami,CA,49.7502,-77.6328,63.09,92,100,5.46,overcast clouds
152,Severomuysk,RU,56.1481,113.4267,40.66,75,88,4.85,overcast clouds
153,Tiksi,RU,71.6872,128.8694,42.89,90,100,12.53,overcast clouds
154,Yumen,CN,40.2833,97.2,79.48,19,55,4.7,broken clouds
155,Saint-Augustin,CA,51.226,-58.6502,61.66,95,100,0.65,overcast clouds
156,Karratha,AU,-20.7377,116.8463,75.33,20,4,26.46,clear sky
157,Waingapu,ID,-9.6567,120.2641,83.01,45,66,16.69,broken clouds
158,Robstown,US,27.7903,-97.6689,84.74,81,75,12.66,broken clouds
159,Acapulco,MX,16.8634,-99.8901,82.22,74,75,3.44,broken clouds
160,East London,ZA,-33.0153,27.9116,57.76,65,16,26.08,few clouds
161,Gigmoto,PH,13.7796,124.39,86.29,66,100,1.9,overcast clouds
162,Kalianget,ID,-7.05,113.9333,81.68,62,9,15.32,clear sky
163,Almaznyy,RU,48.0448,40.045,67.82,55,99,10.78,overcast clouds
164,Nhulunbuy,AU,-12.2333,136.7667,83.01,54,40,19.57,scattered clouds
165,Lewistown,US,40.5992,-77.5714,76.6,86,20,0.0,few clouds
166,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,83,0,8.05,clear sky
167,Lagos,NG,6.5833,3.75,73.06,94,90,4.79,light rain
168,Ubatuba,BR,-23.4339,-45.0711,58.55,84,100,1.66,overcast clouds
169,Severo-Kurilsk,RU,50.6789,156.125,54.79,94,100,24.94,overcast clouds
170,Le Vauclin,MQ,14.5452,-60.8388,81.84,89,75,4.61,broken clouds
171,Chuy,UY,-33.6971,-53.4616,42.37,73,0,6.6,clear sky
172,Isiro,CD,2.7739,27.616,64.98,100,100,1.12,light rain
173,Lagoa,PT,39.05,-27.9833,71.44,77,60,4.92,broken clouds
174,Sechura,PE,-5.5569,-80.8222,62.73,81,98,12.64,overcast clouds
175,Micheweni,TZ,-4.9667,39.8333,71.96,85,11,7.2,few clouds
176,Nador,MA,35.174,-2.9287,77.25,73,0,3.44,clear sky
177,Urumqi,CN,43.801,87.6005,58.15,44,0,4.47,clear sky
178,Suez,EG,29.9737,32.5263,77.09,67,0,5.03,clear sky
179,Yantzaza,EC,-3.8278,-78.7594,68.16,99,100,0.56,moderate rain
180,Dali,CN,25.7,100.1833,71.87,74,55,1.05,broken clouds
181,Shaowu,CN,27.3409,117.4831,90.59,56,100,2.39,overcast clouds
182,Kudahuvadhoo,MV,2.6708,72.8944,81.68,71,85,5.41,overcast clouds
183,Male,MV,4.1748,73.5089,80.82,76,100,5.23,overcast clouds
184,Sampit,ID,-2.5333,112.95,81.1,86,18,4.5,few clouds
185,Koungou,YT,-12.7336,45.2042,76.71,73,100,12.66,overcast clouds
186,Port Blair,IN,11.6667,92.75,83.07,79,92,16.22,overcast clouds
187,Roald,NO,62.5833,6.1333,62.17,94,100,9.22,overcast clouds
188,Pevek,RU,69.7008,170.3133,46.8,59,0,7.23,clear sky
189,Chongwe,ZM,-15.3292,28.682,64.24,26,0,9.04,clear sky
190,Jvari,GE,42.7169,42.052,67.75,61,100,6.71,overcast clouds
191,Kodino,RU,63.7198,39.6447,60.87,78,100,5.26,overcast clouds
192,Murgab,TM,37.4966,61.9714,73.11,23,0,10.33,clear sky
193,Katangli,RU,51.7102,143.2326,56.08,91,100,21.9,light rain
194,Ottawa,CA,45.4112,-75.6981,73.74,68,47,3.04,scattered clouds
195,Lewisporte,CA,49.2499,-55.0482,67.55,97,67,7.54,broken clouds
196,Port Hedland,AU,-20.3167,118.5667,77.05,16,0,24.16,clear sky
197,Ambon,ID,-3.6954,128.1814,77.97,84,96,13.11,overcast clouds
198,Olafsvik,IS,64.8945,-23.7142,46.83,85,100,28.95,overcast clouds
199,Najran,SA,17.4924,44.1277,79.43,57,23,7.31,few clouds
200,Kirkenaer,NO,60.4564,12.0582,60.96,95,100,3.51,overcast clouds
201,Mazagao,BR,-0.115,-51.2894,82.45,89,94,4.25,overcast clouds
202,Anadyr,RU,64.75,177.4833,53.01,58,14,7.45,few clouds
203,Morondava,MG,-20.2833,44.2833,70.39,88,9,6.22,clear sky
204,Husavik,IS,66.0449,-17.3389,48.33,99,100,12.73,overcast clouds
205,Komsomolsk,UA,49.0097,33.6455,65.61,87,4,4.21,clear sky
206,Pisco,PE,-13.7,-76.2167,59.05,88,75,3.44,broken clouds
207,Garowe,SO,8.4054,48.4845,73.81,75,98,22.7,overcast clouds
208,Bandarbeyla,SO,9.4942,50.8122,76.78,82,84,23.55,broken clouds
209,Camana,PE,-16.6228,-72.7111,59.27,85,67,5.68,broken clouds
210,Luderitz,NA,-26.6481,15.1594,55.35,64,0,15.77,clear sky
211,Gizo,SB,-8.103,156.8419,82.35,78,28,16.2,light rain
212,Ust-Tsilma,RU,65.441,52.1498,62.1,92,10,2.98,clear sky
213,Sinnamary,GF,5.3833,-52.95,80.15,83,41,11.12,scattered clouds
214,San Carlos De Bariloche,AR,-41.1456,-71.3082,37.24,87,0,3.44,clear sky
215,Malpe,IN,13.35,74.7167,79.9,84,99,1.45,overcast clouds
216,Belyy Yar,RU,53.6039,91.3903,49.89,93,75,2.24,light rain
217,Port Shepstone,ZA,-30.7414,30.455,55.81,50,0,5.19,clear sky
218,Dingle,PH,10.9995,122.6711,83.23,76,69,5.19,broken clouds
219,Bilma,NE,18.6853,12.9164,88.07,43,23,8.5,few clouds
220,Houma,US,29.5958,-90.7195,79.0,91,40,1.01,scattered clouds
221,Samarai,PG,-10.6167,150.6667,79.41,63,93,11.79,overcast clouds
222,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,82.6,33,77,2.04,broken clouds
223,Anaimalai,IN,10.5833,76.9333,77.29,89,100,7.61,moderate rain
224,Esperance,AU,-33.8667,121.9,59.77,75,95,8.3,overcast clouds
225,Katsuura,JP,35.1333,140.3,80.26,83,100,10.76,overcast clouds
226,Butaritari,KI,3.0707,172.7902,81.86,75,1,9.78,clear sky
227,Caxito,AO,-8.5785,13.6643,69.67,78,100,2.68,overcast clouds
228,Chokurdakh,RU,70.6333,147.9167,70.65,42,2,15.9,clear sky
229,Khani,GE,41.9563,42.9566,63.97,59,100,4.61,overcast clouds
230,Ler,SS,8.3018,30.1418,69.58,97,100,2.89,overcast clouds
231,San Policarpo,PH,12.1791,125.5072,81.84,80,99,4.21,overcast clouds
232,Straumen,NO,63.8709,11.2999,53.6,92,100,3.62,overcast clouds
233,Big Spring,US,32.2504,-101.4787,80.24,57,40,12.66,scattered clouds
234,Rosetown,CA,51.5501,-108.0014,77.9,33,82,10.6,broken clouds
235,Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,19.57,light rain
236,Tura,IN,25.5198,90.2201,80.67,73,44,5.61,scattered clouds
237,Boddam,GB,57.4667,-1.7833,50.38,80,14,10.09,few clouds
