City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
385,Siverek,TR,78.55,clear sky,37.755,39.3167,Mercan Hotel
395,Kahta,TR,74.57,clear sky,37.7855,38.6237,KommageneİZ Hotel
396,Gimli,CA,66.81,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
399,Batemans Bay,AU,65.59,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
400,Fortuna,US,66.09,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
402,Tommot,RU,61.05,light rain,58.9564,126.2925,Gostinitsa Tommot
404,Aksu,CN,76.37,clear sky,41.1231,80.2644,Pudong Holiday Hotel
405,Shellbrook,CA,72.63,clear sky,53.2168,-106.4011,Shellbrook Hotel
406,Hays,US,77.56,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
407,Bama,NG,71.92,light rain,11.5221,13.6856,UN Humanitarian Hub
408,Nenjiang,CN,66.56,clear sky,49.1833,125.2167,Nenjiang Apartment
412,Komsomolskiy,UZ,72.32,clear sky,40.4272,71.7189,Ikathouse
416,Ewo,CG,77.95,broken clouds,-0.8725,14.8206,Residence Elonda Ewo
417,Dondo,MZ,71.11,clear sky,-19.6094,34.7431,Pensao Casual
418,Zimovniki,RU,73.67,overcast clouds,47.1483,42.4633,"Dom Priyezzhikh, Gostinitsa"
420,Hay River,CA,71.58,broken clouds,60.8156,-115.7999,Ptarmigan Inn
432,Flinders,AU,60.39,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
434,San Quintin,MX,70.34,few clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
435,Eyl,SO,76.57,overcast clouds,7.9803,49.8164,Amiin Hotel
436,Grand-Lahou,CI,73.51,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
440,Noumea,NC,75.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
443,Buchanan,LR,75.45,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
446,Nerchinskiy Zavod,RU,61.56,clear sky,51.3088,119.61,Gostinitsa
447,Wilmington,US,75.94,moderate rain,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
449,Fort-Shevchenko,KZ,77.36,overcast clouds,44.5086,50.263,Oasis hotel Bautino
451,Aktau,KZ,73.98,broken clouds,43.65,51.2,Silk Way Hotel
453,Tandalti,SD,75.92,light rain,13.0167,31.8667,منزل : الهادي محمد مساعد
457,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
463,Gadwal,IN,77.29,overcast clouds,16.2333,77.8,MS RESIDENCY
464,Kirovskiy,RU,71.55,scattered clouds,45.0917,133.5136,"Uyut, Gostinitsa"
465,Emerald,AU,71.35,clear sky,-23.5333,148.1667,The Irish Village
466,Nome,US,60.87,broken clouds,64.5011,-165.4064,Dredge 7 Inn
467,Kropotkin,RU,68.43,broken clouds,45.4375,40.5756,Hotel Europe Kropotkin
468,Mayumba,GA,71.02,broken clouds,-3.432,10.6554,LIKWALE LODGE
471,Mehamn,NO,64.31,broken clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
472,Dongsheng,CN,73.15,clear sky,39.8161,109.9776,Crowne Plaza Ordos
475,Pitimbu,BR,72.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
476,Nouadhibou,MR,73.38,overcast clouds,20.931,-17.0347,El Medina
478,Kuopio,FI,69.75,clear sky,62.8924,27.677,Hotel Jahtihovi
481,Ivanteyevka,RU,63.34,clear sky,55.9711,37.9208,New Slides
487,Maine-Soroa,NE,77.31,overcast clouds,13.2114,12.0241,Complexe
490,Porto Walter,BR,62.71,overcast clouds,-8.2686,-72.7439,Hotel Silva
491,Bud,US,75.04,clear sky,39.447,-86.1758,Ted McQuinn Trust
492,Coahuayana,MX,79.27,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
493,Vila,PT,61.68,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
494,Bethel,US,77.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
496,Santeramo In Colle,IT,67.19,clear sky,40.793,16.7553,B&B Casa dei Lillà
498,Naron,ES,63.01,clear sky,43.5167,-8.1528,Marcial
502,Lanivtsi,UA,61.95,few clouds,49.8633,26.0908,Мотель Млин
504,Lososina,RU,65.43,overcast clouds,48.9975,140.3106,"Хостел ""Пилигрим"""
506,College,US,64.58,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
512,Acarau,BR,76.12,scattered clouds,-2.8856,-40.12,castelo pizzaria
513,Spasskoye,RU,70.9,clear sky,44.6108,132.7969,Garmonist
514,Tabou,CI,75.15,light rain,4.423,-7.3528,hotêl doufoulougou
518,Polonne,UA,60.73,clear sky,50.1242,27.5109,Polissya
520,Seydi,TM,74.26,clear sky,39.4816,62.9137,Seydi oteli
525,Grand-Santi,GF,75.97,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
526,Half Moon Bay,US,77.02,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
527,Lazi,UA,64.4,clear sky,48.0667,24.2333,Olenka
528,La Libertad,EC,67.96,overcast clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
532,Escanaba,US,71.94,scattered clouds,45.7453,-87.0646,Sunset Lodge
533,Kashi,CN,78.01,scattered clouds,39.4547,75.9797,帕米尔青年旅舍
535,Mahbubnagar,IN,73.85,overcast clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
539,Santa Cruz Cabralia,BR,73.63,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
541,Huamuxtitlan,MX,71.08,overcast clouds,17.8167,-98.5667,Hotel Huamuxtitlan
546,Palora,EC,64.49,light rain,-1.7,-77.9333,Rancho grande
548,Nileshwar,IN,78.06,overcast clouds,12.25,75.1,Neeleshwar Hermitage
549,Prado,BR,71.2,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
551,Forest Hills,US,74.25,few clouds,42.9595,-85.4898,Ada Bed and Breakfast
552,Sao Joao Da Barra,BR,66.7,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
553,Berlevag,NO,64.35,overcast clouds,70.8578,29.0864,Kvitbrakka
557,Luangwa,ZM,67.62,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
558,Biltine,TD,77.43,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
563,Ordubad,AZ,71.89,clear sky,38.9059,46.0234,Ordubad Oteli
564,Beira,MZ,71.69,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
565,Mumford,GH,73.51,light rain,5.2618,-0.759,Spanish Villa
567,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
568,Medea,DZ,63.68,clear sky,36.2642,2.7539,Hôtel M'Sallah
569,Kegums,LV,67.46,overcast clouds,56.7451,24.7244,Oškrogs
570,Zabaykalsk,RU,61.66,overcast clouds,49.6333,117.3167,Zheleznyy Mir
572,Newport,GB,62.62,few clouds,51.5877,-2.9984,ibis budget Newport
573,Supe,PE,60.82,broken clouds,-10.8,-77.7333,Hotel Mavars
575,Lithakia,GR,72.68,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
577,Dengzhou,CN,75.2,clear sky,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
578,Fort Saint James,CA,78.4,broken clouds,54.4333,-124.25,The View Hotel
584,Ratnagiri,IN,78.66,broken clouds,16.9833,73.3,Hotel Landmark
585,Brigantine,US,76.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
586,Adamas,GR,78.96,clear sky,36.7333,24.4333,Aphrodite of Milos
587,Khasan,RU,75.18,clear sky,42.4308,130.6434,Fangchuan Self-Driving Camp
589,Boca Do Acre,BR,66.96,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
591,Puerto Escondido,MX,77.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
592,Sao Gabriel Da Cachoeira,BR,74.43,moderate rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
596,Katunino,RU,62.49,scattered clouds,64.3862,40.6298,pine Borok
597,Pimentel,PE,61.93,broken clouds,-6.8367,-79.9342,Hotel Puerto del Sol
598,Hachinohe,JP,73.76,overcast clouds,40.5,141.5,Hachinohe Grand Hotel
599,Viransehir,TR,78.21,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
600,Vila Franca Do Campo,PT,73.2,few clouds,37.7167,-25.4333,Pestana Bahia Praia
603,Cantanhede,BR,74.59,overcast clouds,-3.6333,-44.3767,HOTEL FE EM DEUS
604,Matara,LK,79.32,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
605,Chapais,CA,65.98,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
608,Itupiranga,BR,77.32,overcast clouds,-5.1347,-49.3267,Hotel Panorama
609,Broome,US,75.04,clear sky,42.2506,-75.833,Chenango Valley State Park
613,Hinton,CA,70.11,broken clouds,53.4001,-117.5857,Econo Lodge & Suites
614,Vitina,BA,71.42,scattered clouds,43.2375,17.4839,Apartman Vitina
617,Waterloo,CA,71.65,few clouds,43.4668,-80.5164,The Walper Hotel
618,Kurilsk,RU,61.36,overcast clouds,45.2333,147.8833,Hotel Ostrov
620,Bandrele,YT,76.75,broken clouds,-12.9067,45.1914,Les Baobabs
623,Chuguyevka,RU,71.62,scattered clouds,44.1653,133.8633,Svet V Okne
626,Paita,PE,63.55,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
629,Tutoia,BR,78.13,scattered clouds,-2.7619,-42.2744,Pousada Guará's
632,Mahajanga,MG,66.22,clear sky,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
635,Saint Anthony,US,68.94,few clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
637,Tateyama,JP,79.38,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
638,Petkovci,BA,68.58,light rain,44.4531,19.0761,Gostionica Lazić
640,Itarema,BR,76.33,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
